Year,Award,Winner,Name,Film
1974,Actress in a Supporting Role,1,Ingrid Bergman,Murder on the Orient Express
1974,Actor in a Leading Role,0,Albert Finney,Murder on the Orient Express
1974,Actor in a Leading Role,0,Dustin Hoffman,Lenny
1974,Actor in a Leading Role,0,Jack Nicholson,Chinatown
1974,Actor in a Leading Role,0,Al Pacino,The Godfather Part II
1974,Actor in a Supporting Role,0,Fred Astaire,The Towering Inferno
1974,Actor in a Supporting Role,0,Jeff Bridges,Thunderbolt and Lightfoot
1974,Actor in a Supporting Role,0,Michael V. Gazzo,The Godfather Part II
1974,Actor in a Supporting Role,0,Lee Strasberg,The Godfather Part II
1974,Actress in a Leading Role,0,Diahann Carroll,Claudine
1974,Actress in a Leading Role,0,Faye Dunaway,Chinatown
1974,Actress in a Leading Role,0,Valerie Perrine,Lenny
1974,Actress in a Leading Role,0,Gena Rowlands,A Woman under the Influence
1974,Actress in a Supporting Role,0,Valentina Cortese,Day for Night
1974,Actress in a Supporting Role,0,Madeline Kahn,Blazing Saddles
1974,Actress in a Supporting Role,0,Diane Ladd,Alice Doesn't Live Here Anymore
1974,Actress in a Supporting Role,0,Talia Shire,The Godfather Part II
1975,Actor in a Leading Role,1,Jack Nicholson,One Flew over the Cuckoo's Nest
1975,Actor in a Supporting Role,1,George Burns,The Sunshine Boys
1975,Actress in a Leading Role,1,Louise Fletcher,One Flew over the Cuckoo's Nest
1975,Actress in a Supporting Role,1,Lee Grant,Shampoo
1975,Actor in a Leading Role,0,Walter Matthau,The Sunshine Boys
1975,Actor in a Leading Role,0,Al Pacino,Dog Day Afternoon
1975,Actor in a Leading Role,0,Maximilian Schell,The Man in the Glass Booth
1975,Actor in a Leading Role,0,James Whitmore,"Give 'em Hell, Harry!"
1975,Actor in a Supporting Role,0,Brad Dourif,One Flew over the Cuckoo's Nest
1975,Actor in a Supporting Role,0,Burgess Meredith,The Day of the Locust
1975,Actor in a Supporting Role,0,Chris Sarandon,Dog Day Afternoon
1975,Actor in a Supporting Role,0,Jack Warden,Shampoo
1975,Actress in a Leading Role,0,Isabelle Adjani,The Story of Adele H.
1975,Actress in a Leading Role,0,Ann-Margret,Tommy
1975,Actress in a Leading Role,0,Glenda Jackson,Hedda
1975,Actress in a Leading Role,0,Carol Kane,Hester Street
1975,Actress in a Supporting Role,0,Ronee Blakley,Nashville
1975,Actress in a Supporting Role,0,Sylvia Miles,"Farewell, My Lovely"
1975,Actress in a Supporting Role,0,Lily Tomlin,Nashville
1975,Actress in a Supporting Role,0,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough
1976,Actor in a Leading Role,1,Peter Finch,Network
1976,Actor in a Supporting Role,1,Jason Robards,All the President's Men
1976,Actress in a Leading Role,1,Faye Dunaway,Network
1976,Actress in a Supporting Role,1,Beatrice Straight,Network
1976,Actor in a Leading Role,0,Robert De Niro,Taxi Driver
1976,Actor in a Leading Role,0,Giancarlo Giannini,Seven Beauties
1976,Actor in a Leading Role,0,William Holden,Network
1976,Actor in a Leading Role,0,Sylvester Stallone,Rocky
1976,Actor in a Supporting Role,0,Ned Beatty,Network
1976,Actor in a Supporting Role,0,Burgess Meredith,Rocky
1976,Actor in a Supporting Role,0,Laurence Olivier,Marathon Man
1976,Actor in a Supporting Role,0,Burt Young,Rocky
1976,Actress in a Leading Role,0,Marie-Christine Barrault,"Cousin, Cousine"
1976,Actress in a Leading Role,0,Talia Shire,Rocky
1976,Actress in a Leading Role,0,Sissy Spacek,Carrie
1976,Actress in a Leading Role,0,Liv Ullmann,Face to Face
1976,Actress in a Supporting Role,0,Jane Alexander,All the President's Men
1976,Actress in a Supporting Role,0,Jodie Foster,Taxi Driver
1976,Actress in a Supporting Role,0,Lee Grant,Voyage of the Damned
1976,Actress in a Supporting Role,0,Piper Laurie,Carrie
1977,Actor in a Leading Role,1,Richard Dreyfuss,The Goodbye Girl
1977,Actor in a Supporting Role,1,Jason Robards,Julia
1977,Actress in a Leading Role,1,Diane Keaton,Annie Hall
1977,Actress in a Supporting Role,1,Vanessa Redgrave,Julia
1977,Actor in a Leading Role,0,Woody Allen,Annie Hall
1977,Actor in a Leading Role,0,Richard Burton,Equus
1977,Actor in a Leading Role,0,Marcello Mastroianni,A Special Day
1977,Actor in a Leading Role,0,John Travolta,Saturday Night Fever
1977,Actor in a Supporting Role,0,Mikhail Baryshnikov,The Turning Point
1977,Actor in a Supporting Role,0,Peter Firth,Equus
1977,Actor in a Supporting Role,0,Alec Guinness,Star Wars
1977,Actor in a Supporting Role,0,Maximilian Schell,Julia
1977,Actress in a Leading Role,0,Anne Bancroft,The Turning Point
1977,Actress in a Leading Role,0,Jane Fonda,Julia
1977,Actress in a Leading Role,0,Shirley MacLaine,The Turning Point
1977,Actress in a Leading Role,0,Marsha Mason,The Goodbye Girl
1977,Actress in a Supporting Role,0,Leslie Browne,The Turning Point
1977,Actress in a Supporting Role,0,Quinn Cummings,The Goodbye Girl
1977,Actress in a Supporting Role,0,Melinda Dillon,Close Encounters of the Third Kind
1977,Actress in a Supporting Role,0,Tuesday Weld,Looking for Mr. Goodbar
1978,Actor in a Leading Role,1,Jon Voight,Coming Home
1978,Actor in a Supporting Role,1,Christopher Walken,The Deer Hunter
1978,Actress in a Leading Role,1,Jane Fonda,Coming Home
1978,Actress in a Supporting Role,1,Maggie Smith,California Suite
1978,Actor in a Leading Role,0,Warren Beatty,Heaven Can Wait
1978,Actor in a Leading Role,0,Gary Busey,The Buddy Holly Story
1978,Actor in a Leading Role,0,Robert De Niro,The Deer Hunter
1978,Actor in a Leading Role,0,Laurence Olivier,The Boys from Brazil
1978,Actor in a Supporting Role,0,Bruce Dern,Coming Home
1978,Actor in a Supporting Role,0,Richard Farnsworth,Comes a Horseman
1978,Actor in a Supporting Role,0,John Hurt,Midnight Express
1978,Actor in a Supporting Role,0,Jack Warden,Heaven Can Wait
1978,Actress in a Leading Role,0,Ingrid Bergman,Autumn Sonata
1978,Actress in a Leading Role,0,Ellen Burstyn,"Same Time, Next Year"
1978,Actress in a Leading Role,0,Jill Clayburgh,An Unmarried Woman
1978,Actress in a Leading Role,0,Geraldine Page,Interiors
1978,Actress in a Supporting Role,0,Dyan Cannon,Heaven Can Wait
1978,Actress in a Supporting Role,0,Penelope Milford,Coming Home
1978,Actress in a Supporting Role,0,Maureen Stapleton,Interiors
1978,Actress in a Supporting Role,0,Meryl Streep,The Deer Hunter
1979,Actor in a Leading Role,1,Dustin Hoffman,Kramer vs. Kramer
1979,Actor in a Supporting Role,1,Melvyn Douglas,Being There
1979,Actress in a Leading Role,1,Sally Field,Norma Rae
1979,Actress in a Supporting Role,1,Meryl Streep,Kramer vs. Kramer
1979,Actor in a Leading Role,0,Jack Lemmon,The China Syndrome
1979,Actor in a Leading Role,0,Al Pacino,...And Justice for All
1979,Actor in a Leading Role,0,Roy Scheider,All That Jazz
1979,Actor in a Leading Role,0,Peter Sellers,Being There
1979,Actor in a Supporting Role,0,Robert Duvall,Apocalypse Now
1979,Actor in a Supporting Role,0,Frederic Forrest,The Rose
1979,Actor in a Supporting Role,0,Justin Henry,Kramer vs. Kramer
1979,Actor in a Supporting Role,0,Mickey Rooney,The Black Stallion
1979,Actress in a Leading Role,0,Jill Clayburgh,Starting Over
1979,Actress in a Leading Role,0,Jane Fonda,The China Syndrome
1979,Actress in a Leading Role,0,Marsha Mason,Chapter Two
1979,Actress in a Leading Role,0,Bette Midler,The Rose
1979,Actress in a Supporting Role,0,Jane Alexander,Kramer vs. Kramer
1979,Actress in a Supporting Role,0,Barbara Barrie,Breaking Away
1979,Actress in a Supporting Role,0,Candice Bergen,Starting Over
1979,Actress in a Supporting Role,0,Mariel Hemingway,Manhattan
1980,Actor in a Leading Role,1,Robert De Niro,Raging Bull
1980,Actor in a Supporting Role,1,Timothy Hutton,Ordinary People
1980,Actress in a Leading Role,1,Sissy Spacek,Coal Miner's Daughter
1980,Actress in a Supporting Role,1,Mary Steenburgen,Melvin and Howard
1980,Actor in a Leading Role,0,Robert Duvall,The Great Santini
1980,Actor in a Leading Role,0,John Hurt,The Elephant Man
1980,Actor in a Leading Role,0,Jack Lemmon,Tribute
1980,Actor in a Leading Role,0,Peter O'Toole,The Stunt Man
1980,Actor in a Supporting Role,0,Judd Hirsch,Ordinary People
1980,Actor in a Supporting Role,0,Michael O'Keefe,The Great Santini
1980,Actor in a Supporting Role,0,Joe Pesci,Raging Bull
1980,Actor in a Supporting Role,0,Jason Robards,Melvin and Howard
1980,Actress in a Leading Role,0,Ellen Burstyn,Resurrection
1980,Actress in a Leading Role,0,Goldie Hawn,Private Benjamin
1980,Actress in a Leading Role,0,Mary Tyler Moore,Ordinary People
1980,Actress in a Leading Role,0,Gena Rowlands,Gloria
1980,Actress in a Supporting Role,0,Eileen Brennan,Private Benjamin
1980,Actress in a Supporting Role,0,Eva Le Gallienne,Resurrection
1980,Actress in a Supporting Role,0,Cathy Moriarty,Raging Bull
1980,Actress in a Supporting Role,0,Diana Scarwid,Inside Moves
1981,Actor in a Leading Role,1,Henry Fonda,On Golden Pond
1981,Actor in a Supporting Role,1,John Gielgud,Arthur
1981,Actress in a Leading Role,1,Katharine Hepburn,On Golden Pond
1981,Actress in a Supporting Role,1,Maureen Stapleton,Reds
1981,Actor in a Leading Role,0,Warren Beatty,Reds
1981,Actor in a Leading Role,0,Burt Lancaster,Atlantic City
1981,Actor in a Leading Role,0,Dudley Moore,Arthur
1981,Actor in a Leading Role,0,Paul Newman,Absence of Malice
1981,Actor in a Supporting Role,0,James Coco,Only When I Laugh
1981,Actor in a Supporting Role,0,Ian Holm,Chariots of Fire
1981,Actor in a Supporting Role,0,Jack Nicholson,Reds
1981,Actor in a Supporting Role,0,"Howard E. Rollins, Jr.",Ragtime
1981,Actress in a Leading Role,0,Diane Keaton,Reds
1981,Actress in a Leading Role,0,Marsha Mason,Only When I Laugh
1981,Actress in a Leading Role,0,Susan Sarandon,Atlantic City
1981,Actress in a Leading Role,0,Meryl Streep,The French Lieutenant's Woman
1981,Actress in a Supporting Role,0,Melinda Dillon,Absence of Malice
1981,Actress in a Supporting Role,0,Jane Fonda,On Golden Pond
1981,Actress in a Supporting Role,0,Joan Hackett,Only When I Laugh
1981,Actress in a Supporting Role,0,Elizabeth McGovern,Ragtime
1982,Actor in a Leading Role,1,Ben Kingsley,Gandhi
1982,Actor in a Supporting Role,1,"Louis Gossett, Jr.",An Officer and a Gentleman
1982,Actress in a Leading Role,1,Meryl Streep,Sophie's Choice
1982,Actress in a Supporting Role,1,Jessica Lange,Tootsie
1982,Actor in a Leading Role,0,Dustin Hoffman,Tootsie
1982,Actor in a Leading Role,0,Jack Lemmon,Missing
1982,Actor in a Leading Role,0,Paul Newman,The Verdict
1982,Actor in a Leading Role,0,Peter O'Toole,My Favorite Year
1982,Actor in a Supporting Role,0,Charles Durning,The Best Little Whorehouse in Texas
1982,Actor in a Supporting Role,0,John Lithgow,The World According to Garp
1982,Actor in a Supporting Role,0,James Mason,The Verdict
1982,Actor in a Supporting Role,0,Robert Preston,Victor/Victoria
1982,Actress in a Leading Role,0,Julie Andrews,Victor/Victoria
1982,Actress in a Leading Role,0,Jessica Lange,Frances
1982,Actress in a Leading Role,0,Sissy Spacek,Missing
1982,Actress in a Leading Role,0,Debra Winger,An Officer and a Gentleman
1982,Actress in a Supporting Role,0,Glenn Close,The World According to Garp
1982,Actress in a Supporting Role,0,Teri Garr,Tootsie
1982,Actress in a Supporting Role,0,Kim Stanley,Frances
1982,Actress in a Supporting Role,0,Lesley Ann Warren,Victor/Victoria
1983,Actor in a Leading Role,1,Robert Duvall,Tender Mercies
1983,Actor in a Supporting Role,1,Jack Nicholson,Terms of Endearment
1983,Actress in a Leading Role,1,Shirley MacLaine,Terms of Endearment
1983,Actress in a Supporting Role,1,Linda Hunt,The Year of Living Dangerously
1983,Actor in a Leading Role,0,Michael Caine,Educating Rita
1983,Actor in a Leading Role,0,Tom Conti,"Reuben, Reuben"
1983,Actor in a Leading Role,0,Tom Courtenay,The Dresser
1983,Actor in a Leading Role,0,Albert Finney,The Dresser
1983,Actor in a Supporting Role,0,Charles Durning,To Be or Not to Be
1983,Actor in a Supporting Role,0,John Lithgow,Terms of Endearment
1983,Actor in a Supporting Role,0,Sam Shepard,The Right Stuff
1983,Actor in a Supporting Role,0,Rip Torn,Cross Creek
1983,Actress in a Leading Role,0,Jane Alexander,Testament
1983,Actress in a Leading Role,0,Meryl Streep,Silkwood
1983,Actress in a Leading Role,0,Julie Walters,Educating Rita
1983,Actress in a Leading Role,0,Debra Winger,Terms of Endearment
1983,Actress in a Supporting Role,0,Cher,Silkwood
1983,Actress in a Supporting Role,0,Glenn Close,The Big Chill
1983,Actress in a Supporting Role,0,Amy Irving,Yentl
1983,Actress in a Supporting Role,0,Alfre Woodard,Cross Creek
1984,Actor in a Leading Role,1,F. Murray Abraham,Amadeus
1984,Actor in a Supporting Role,1,Haing S. Ngor,The Killing Fields
1984,Actress in a Leading Role,1,Sally Field,Places in the Heart
1984,Actress in a Supporting Role,1,Peggy Ashcroft,A Passage to India
1984,Actor in a Leading Role,0,Jeff Bridges,Starman
1984,Actor in a Leading Role,0,Albert Finney,Under the Volcano
1984,Actor in a Leading Role,0,Tom Hulce,Amadeus
1984,Actor in a Leading Role,0,Sam Waterston,The Killing Fields
1984,Actor in a Supporting Role,0,Adolph Caesar,A Soldier's Story
1984,Actor in a Supporting Role,0,John Malkovich,Places in the Heart
1984,Actor in a Supporting Role,0,Noriyuki 'Pat' Morita,The Karate Kid
1984,Actor in a Supporting Role,0,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes"
1984,Actress in a Leading Role,0,Judy Davis,A Passage to India
1984,Actress in a Leading Role,0,Jessica Lange,Country
1984,Actress in a Leading Role,0,Vanessa Redgrave,The Bostonians
1984,Actress in a Leading Role,0,Sissy Spacek,The River
1984,Actress in a Supporting Role,0,Glenn Close,The Natural
1984,Actress in a Supporting Role,0,Lindsay Crouse,Places in the Heart
1984,Actress in a Supporting Role,0,Christine Lahti,Swing Shift
1984,Actress in a Supporting Role,0,Geraldine Page,The Pope of Greenwich Village
1985,Actor in a Leading Role,1,William Hurt,Kiss of the Spider Woman
1985,Actor in a Supporting Role,1,Don Ameche,Cocoon
1985,Actress in a Leading Role,1,Geraldine Page,The Trip to Bountiful
1985,Actress in a Supporting Role,1,Anjelica Huston,Prizzi's Honor
1985,Actor in a Leading Role,0,Harrison Ford,Witness
1985,Actor in a Leading Role,0,James Garner,Murphy's Romance
1985,Actor in a Leading Role,0,Jack Nicholson,Prizzi's Honor
1985,Actor in a Leading Role,0,Jon Voight,Runaway Train
1985,Actor in a Supporting Role,0,Klaus Maria Brandauer,Out of Africa
1985,Actor in a Supporting Role,0,William Hickey,Prizzi's Honor
1985,Actor in a Supporting Role,0,Robert Loggia,Jagged Edge
1985,Actor in a Supporting Role,0,Eric Roberts,Runaway Train
1985,Actress in a Leading Role,0,Anne Bancroft,Agnes of God
1985,Actress in a Leading Role,0,Whoopi Goldberg,The Color Purple
1985,Actress in a Leading Role,0,Jessica Lange,Sweet Dreams
1985,Actress in a Leading Role,0,Meryl Streep,Out of Africa
1985,Actress in a Supporting Role,0,Margaret Avery,The Color Purple
1985,Actress in a Supporting Role,0,Amy Madigan,Twice in a Lifetime
1985,Actress in a Supporting Role,0,Meg Tilly,Agnes of God
1985,Actress in a Supporting Role,0,Oprah Winfrey,The Color Purple
1986,Actor in a Leading Role,1,Paul Newman,The Color of Money
1986,Actor in a Supporting Role,1,Michael Caine,Hannah and Her Sisters
1986,Actress in a Leading Role,1,Marlee Matlin,Children of a Lesser God
1986,Actress in a Supporting Role,1,Dianne Wiest,Hannah and Her Sisters
1986,Actor in a Leading Role,0,Dexter Gordon,'Round Midnight
1986,Actor in a Leading Role,0,Bob Hoskins,Mona Lisa
1986,Actor in a Leading Role,0,William Hurt,Children of a Lesser God
1986,Actor in a Leading Role,0,James Woods,Salvador
1986,Actor in a Supporting Role,0,Tom Berenger,Platoon
1986,Actor in a Supporting Role,0,Willem Dafoe,Platoon
1986,Actor in a Supporting Role,0,Denholm Elliott,A Room with a View
1986,Actor in a Supporting Role,0,Dennis Hopper,Hoosiers
1986,Actress in a Leading Role,0,Jane Fonda,The Morning After
1986,Actress in a Leading Role,0,Sissy Spacek,Crimes of the Heart
1986,Actress in a Leading Role,0,Kathleen Turner,Peggy Sue Got Married
1986,Actress in a Leading Role,0,Sigourney Weaver,Aliens
1986,Actress in a Supporting Role,0,Tess Harper,Crimes of the Heart
1986,Actress in a Supporting Role,0,Piper Laurie,Children of a Lesser God
1986,Actress in a Supporting Role,0,Mary Elizabeth Mastrantonio,The Color of Money
1986,Actress in a Supporting Role,0,Maggie Smith,A Room with a View
1987,Actor in a Leading Role,1,Michael Douglas,Wall Street
1987,Actor in a Supporting Role,1,Sean Connery,The Untouchables
1987,Actress in a Leading Role,1,Cher,Moonstruck
1987,Actress in a Supporting Role,1,Olympia Dukakis,Moonstruck
1987,Actor in a Leading Role,0,William Hurt,Broadcast News
1987,Actor in a Leading Role,0,Marcello Mastroianni,Dark Eyes
1987,Actor in a Leading Role,0,Jack Nicholson,Ironweed
1987,Actor in a Leading Role,0,Robin Williams,"Good Morning, Vietnam"
1987,Actor in a Supporting Role,0,Albert Brooks,Broadcast News
1987,Actor in a Supporting Role,0,Morgan Freeman,Street Smart
1987,Actor in a Supporting Role,0,Vincent Gardenia,Moonstruck
1987,Actor in a Supporting Role,0,Denzel Washington,Cry Freedom
1987,Actress in a Leading Role,0,Glenn Close,Fatal Attraction
1987,Actress in a Leading Role,0,Holly Hunter,Broadcast News
1987,Actress in a Leading Role,0,Sally Kirkland,Anna
1987,Actress in a Leading Role,0,Meryl Streep,Ironweed
1987,Actress in a Supporting Role,0,Norma Aleandro,Gaby - A True Story
1987,Actress in a Supporting Role,0,Anne Archer,Fatal Attraction
1987,Actress in a Supporting Role,0,Anne Ramsey,Throw Momma from the Train
1987,Actress in a Supporting Role,0,Ann Sothern,The Whales of August
1988,Actor in a Leading Role,1,Dustin Hoffman,Rain Man
1988,Actor in a Supporting Role,1,Kevin Kline,A Fish Called Wanda
1988,Actress in a Leading Role,1,Jodie Foster,The Accused
1988,Actress in a Supporting Role,1,Geena Davis,The Accidental Tourist
1988,Actor in a Leading Role,0,Gene Hackman,Mississippi Burning
1988,Actor in a Leading Role,0,Tom Hanks,Big
1988,Actor in a Leading Role,0,Edward James Olmos,Stand and Deliver
1988,Actor in a Leading Role,0,Max von Sydow,Pelle the Conqueror
1988,Actor in a Supporting Role,0,Alec Guinness,Little Dorrit
1988,Actor in a Supporting Role,0,Martin Landau,Tucker The Man and His Dream
1988,Actor in a Supporting Role,0,River Phoenix,Running on Empty
1988,Actor in a Supporting Role,0,Dean Stockwell,Married to the Mob
1988,Actress in a Leading Role,0,Glenn Close,Dangerous Liaisons
1988,Actress in a Leading Role,0,Melanie Griffith,Working Girl
1988,Actress in a Leading Role,0,Meryl Streep,A Cry in the Dark
1988,Actress in a Leading Role,0,Sigourney Weaver,Gorillas in the Mist
1988,Actress in a Supporting Role,0,Joan Cusack,Working Girl
1988,Actress in a Supporting Role,0,Frances McDormand,Mississippi Burning
1988,Actress in a Supporting Role,0,Michelle Pfeiffer,Dangerous Liaisons
1988,Actress in a Supporting Role,0,Sigourney Weaver,Working Girl
1989,Actor in a Leading Role,1,Daniel Day Lewis,My Left Foot
1989,Actor in a Supporting Role,1,Denzel Washington,Glory
1989,Actress in a Leading Role,1,Jessica Tandy,Driving Miss Daisy
1989,Actress in a Supporting Role,1,Brenda Fricker,My Left Foot
1989,Actor in a Leading Role,0,Kenneth Branagh,Henry V
1989,Actor in a Leading Role,0,Tom Cruise,Born on the Fourth of July
1989,Actor in a Leading Role,0,Morgan Freeman,Driving Miss Daisy
1989,Actor in a Leading Role,0,Robin Williams,Dead Poets Society
1989,Actor in a Supporting Role,0,Danny Aiello,Do the Right Thing
1989,Actor in a Supporting Role,0,Dan Aykroyd,Driving Miss Daisy
1989,Actor in a Supporting Role,0,Marlon Brando,A Dry White Season
1989,Actor in a Supporting Role,0,Martin Landau,Crimes and Misdemeanors
1989,Actress in a Leading Role,0,Isabelle Adjani,Camille Claudel
1989,Actress in a Leading Role,0,Pauline Collins,Shirley Valentine
1989,Actress in a Leading Role,0,Jessica Lange,Music Box
1989,Actress in a Leading Role,0,Michelle Pfeiffer,The Fabulous Baker Boys
1989,Actress in a Supporting Role,0,Anjelica Huston,"Enemies, A Love Story"
1989,Actress in a Supporting Role,0,Lena Olin,"Enemies, A Love Story"
1989,Actress in a Supporting Role,0,Julia Roberts,Steel Magnolias
1989,Actress in a Supporting Role,0,Dianne Wiest,Parenthood
1990,Actor in a Leading Role,1,Jeremy Irons,Reversal of Fortune
1990,Actor in a Supporting Role,1,Joe Pesci,Good Fellas
1990,Actress in a Leading Role,1,Kathy Bates,Misery
1990,Actress in a Supporting Role,1,Whoopi Goldberg,Ghost
1990,Actor in a Leading Role,0,Kevin Costner,Dances With Wolves
1990,Actor in a Leading Role,0,Robert De Niro,Awakenings
1990,Actor in a Leading Role,0,Gerard Depardieu,Cyrano de Bergerac
1990,Actor in a Leading Role,0,Richard Harris,The Field
1990,Actor in a Supporting Role,0,Bruce Davison,Longtime Companion
1990,Actor in a Supporting Role,0,Andy Garcia,"The Godfather, Part III"
1990,Actor in a Supporting Role,0,Graham Greene,Dances With Wolves
1990,Actor in a Supporting Role,0,Al Pacino,Dick Tracy
1990,Actress in a Leading Role,0,Anjelica Huston,The Grifters
1990,Actress in a Leading Role,0,Julia Roberts,Pretty Woman
1990,Actress in a Leading Role,0,Meryl Streep,Postcards from the Edge
1990,Actress in a Leading Role,0,Joanne Woodward,Mr. & Mrs. Bridge
1990,Actress in a Supporting Role,0,Annette Bening,The Grifters
1990,Actress in a Supporting Role,0,Lorraine Bracco,Good Fellas
1990,Actress in a Supporting Role,0,Diane Ladd,Wild at Heart
1990,Actress in a Supporting Role,0,Mary McDonnell,Dances With Wolves
1991,Actor in a Leading Role,1,Anthony Hopkins,The Silence of the Lambs
1991,Actor in a Supporting Role,1,Jack Palance,City Slickers
1991,Actress in a Leading Role,1,Jodie Foster,The Silence of the Lambs
1991,Actress in a Supporting Role,1,Mercedes Ruehl,The Fisher King
1991,Actor in a Leading Role,0,Warren Beatty,Bugsy
1991,Actor in a Leading Role,0,Robert De Niro,Cape Fear
1991,Actor in a Leading Role,0,Nick Nolte,The Prince of Tides
1991,Actor in a Leading Role,0,Robin Williams,The Fisher King
1991,Actor in a Supporting Role,0,Tommy Lee Jones,JFK
1991,Actor in a Supporting Role,0,Harvey Keitel,Bugsy
1991,Actor in a Supporting Role,0,Ben Kingsley,Bugsy
1991,Actor in a Supporting Role,0,Michael Lerner,Barton Fink
1991,Actress in a Leading Role,0,Geena Davis,Thelma & Louise
1991,Actress in a Leading Role,0,Laura Dern,Rambling Rose
1991,Actress in a Leading Role,0,Bette Midler,For the Boys
1991,Actress in a Leading Role,0,Susan Sarandon,Thelma & Louise
1991,Actress in a Supporting Role,0,Diane Ladd,Rambling Rose
1991,Actress in a Supporting Role,0,Juliette Lewis,Cape Fear
1991,Actress in a Supporting Role,0,Kate Nelligan,The Prince of Tides
1991,Actress in a Supporting Role,0,Jessica Tandy,Fried Green Tomatoes
1992,Actor in a Leading Role,1,Al Pacino,Scent of a Woman
1992,Actor in a Supporting Role,1,Gene Hackman,Unforgiven
1992,Actress in a Leading Role,1,Emma Thompson,Howards End
1992,Actress in a Supporting Role,1,Marisa Tomei,My Cousin Vinny
1992,Actor in a Leading Role,0,Robert Downey Jr.,Chaplin
1992,Actor in a Leading Role,0,Clint Eastwood,Unforgiven
1992,Actor in a Leading Role,0,Stephen Rea,The Crying Game
1992,Actor in a Leading Role,0,Denzel Washington,Malcolm X
1992,Actor in a Supporting Role,0,Jaye Davidson,The Crying Game
1992,Actor in a Supporting Role,0,Jack Nicholson,A Few Good Men
1992,Actor in a Supporting Role,0,Al Pacino,Glengarry Glen Ross
1992,Actor in a Supporting Role,0,David Paymer,Mr. Saturday Night
1992,Actress in a Leading Role,0,Catherine Deneuve,Indochine
1992,Actress in a Leading Role,0,Mary McDonnell,Passion Fish
1992,Actress in a Leading Role,0,Michelle Pfeiffer,Love Field
1992,Actress in a Leading Role,0,Susan Sarandon,Lorenzo's Oil
1992,Actress in a Supporting Role,0,Judy Davis,Husbands and Wives
1992,Actress in a Supporting Role,0,Joan Plowright,Enchanted April
1992,Actress in a Supporting Role,0,Vanessa Redgrave,Howards End
1992,Actress in a Supporting Role,0,Miranda Richardson,Damage
1993,Actor in a Leading Role,1,Tom Hanks,Philadelphia
1993,Actor in a Supporting Role,1,Tommy Lee Jones,The Fugitive
1993,Actress in a Leading Role,1,Holly Hunter,The Piano
1993,Actress in a Supporting Role,1,Anna Paquin,The Piano
1993,Actor in a Leading Role,0,Daniel Day-Lewis,In the Name of the Father
1993,Actor in a Leading Role,0,Laurence Fishburne,What's Love Got to Do with It
1993,Actor in a Leading Role,0,Anthony Hopkins,The Remains of the Day
1993,Actor in a Leading Role,0,Liam Neeson,Schindler's List
1993,Actor in a Supporting Role,0,Leonardo DiCaprio,What's Eating Gilbert Grape
1993,Actor in a Supporting Role,0,Ralph Fiennes,Schindler's List
1993,Actor in a Supporting Role,0,John Malkovich,In the Line of Fire
1993,Actor in a Supporting Role,0,Pete Postlethwaite,In the Name of the Father
1993,Actress in a Leading Role,0,Angela Bassett,What's Love Got to Do with It
1993,Actress in a Leading Role,0,Stockard Channing,Six Degrees of Separation
1993,Actress in a Leading Role,0,Emma Thompson,The Remains of the Day
1993,Actress in a Leading Role,0,Debra Winger,Shadowlands
1993,Actress in a Supporting Role,0,Holly Hunter,The Firm
1993,Actress in a Supporting Role,0,Rosie Perez,Fearless
1993,Actress in a Supporting Role,0,Winona Ryder,The Age of Innocence
1993,Actress in a Supporting Role,0,Emma Thompson,In the Name of the Father
1994,Actor in a Leading Role,1,Tom Hanks,Forrest Gump
1994,Actor in a Supporting Role,1,Martin Landau,Ed Wood
1994,Actress in a Leading Role,1,Jessica Lange,Blue Sky
1994,Actress in a Supporting Role,1,Dianne Wiest,Bullets over Broadway
1994,Actor in a Leading Role,0,Morgan Freeman,The Shawshank Redemption
1994,Actor in a Leading Role,0,Nigel Hawthorne,The Madness of King George
1994,Actor in a Leading Role,0,Paul Newman,Nobody's Fool
1994,Actor in a Leading Role,0,John Travolta,Pulp Fiction
1994,Actor in a Supporting Role,0,Samuel L. Jackson,Pulp Fiction
1994,Actor in a Supporting Role,0,Chazz Palminteri,Bullets over Broadway
1994,Actor in a Supporting Role,0,Paul Scofield,Quiz Show
1994,Actor in a Supporting Role,0,Gary Sinise,Forrest Gump
1994,Actress in a Leading Role,0,Jodie Foster,Nell
1994,Actress in a Leading Role,0,Miranda Richardson,Tom & Viv
1994,Actress in a Leading Role,0,Winona Ryder,Little Women
1994,Actress in a Leading Role,0,Susan Sarandon,The Client
1994,Actress in a Supporting Role,0,Rosemary Harris,Tom & Viv
1994,Actress in a Supporting Role,0,Helen Mirren,The Madness of King George
1994,Actress in a Supporting Role,0,Uma Thurman,Pulp Fiction
1994,Actress in a Supporting Role,0,Jennifer Tilly,Bullets over Broadway
1995,Actor in a Leading Role,1,Nicolas Cage,Leaving Las Vegas
1995,Actor in a Supporting Role,1,Kevin Spacey,The Usual Suspects
1995,Actress in a Leading Role,1,Susan Sarandon,Dead Man Walking
1995,Actress in a Supporting Role,1,Mira Sorvino,Mighty Aphrodite
1995,Actor in a Leading Role,0,Richard Dreyfuss,Mr. Holland's Opus
1995,Actor in a Leading Role,0,Anthony Hopkins,Nixon
